call_id,agent_id,call_date,call_duration,wait_time,call_status,converted,sale_amount,department,shift
107,A3,2026-02-06,296,85,completed,0,0,Sales,Morning
108,A3,2026-01-29,778,134,completed,0,0,Support,Morning
109,A7,2026-02-05,218,65,completed,0,0,Sales,Evening
110,A8,2026-02-27,347,106,completed,1,241,Support,Morning
111,A5,2026-01-16,167,158,completed,0,0,Sales,Morning
112,A1,2026-02-20,146,165,completed,0,0,Support,Evening
113,A1,2026-03-02,665,23,missed,0,0,Sales,Evening
114,A9,2026-02-23,154,8,completed,1,244,Support,Morning
115,A9,2026-03-01,309,108,missed,0,0,Support,Evening
116,A9,2026-01-07,450,16,completed,0,0,Support,Evening
117,A4,2026-03-02,678,58,missed,0,0,Sales,Evening
118,A4,2026-01-04,128,98,completed,0,0,Sales,Morning
119,A6,2026-01-15,86,22,completed,1,95,Sales,Evening
120,A9,2026-03-02,409,70,completed,0,0,Sales,Evening
121,A1,2026-01-08,103,145,completed,0,0,Sales,Morning
122,A5,2026-02-02,565,107,missed,0,0,Sales,Morning
123,A2,2026-02-04,147,93,completed,1,241,Sales,Morning
124,A9,2026-01-18,331,54,completed,0,0,Sales,Evening
125,A9,2026-02-10,131,72,missed,0,0,Support,Morning
126,A6,2026-02-28,402,113,missed,0,0,Sales,Evening
127,A4,2026-01-10,505,37,completed,0,0,Support,Morning
128,A5,2026-02-09,692,69,missed,0,0,Support,Evening
129,A3,2026-01-02,793,134,completed,0,0,Sales,Morning
130,A1,2026-01-23,462,100,completed,0,0,Sales,Morning
131,A3,2026-01-06,693,41,completed,1,210,Sales,Morning
132,A9,2026-01-18,753,111,completed,0,0,Sales,Morning
133,A8,2026-01-09,313,167,completed,0,0,Support,Morning
134,A3,2026-01-27,344,58,completed,1,177,Sales,Morning
135,A8,2026-01-10,505,11,completed,1,328,Support,Morning
136,A10,2026-02-12,301,6,completed,0,0,Sales,Morning
137,A9,2026-02-21,387,37,completed,1,403,Sales,Morning
138,A10,2026-01-05,187,32,completed,1,182,Support,Evening
139,A4,2026-02-19,199,99,missed,0,0,Support,Evening
140,A8,2026-01-18,525,164,completed,1,174,Sales,Morning
141,A7,2026-01-25,160,46,completed,0,0,Support,Evening
142,A7,2026-01-24,651,170,completed,0,0,Support,Morning
143,A2,2026-01-01,370,158,completed,0,0,Sales,Morning
144,A1,2026-02-21,269,47,completed,1,320,Support,Morning
145,A1,2026-02-22,488,14,completed,0,0,Sales,Evening
146,A7,2026-02-22,845,175,completed,0,0,Support,Evening
147,A10,2026-01-04,103,40,completed,1,362,Sales,Evening
148,A9,2026-01-27,484,109,completed,1,145,Support,Morning
149,A5,2026-02-20,873,74,missed,0,0,Support,Evening
150,A2,2026-01-30,409,171,completed,1,458,Sales,Evening
151,A8,2026-01-04,439,39,missed,0,0,Support,Evening
152,A10,2026-02-21,207,10,missed,0,0,Support,Evening
153,A5,2026-01-12,683,22,completed,0,0,Sales,Evening
154,A3,2026-01-14,389,77,missed,0,0,Sales,Evening
155,A6,2026-01-07,197,22,completed,0,0,Support,Morning
156,A9,2026-01-08,227,46,completed,0,0,Support,Morning
157,A1,2026-01-06,869,32,completed,1,441,Support,Morning
158,A2,2026-01-23,514,114,completed,0,0,Support,Morning
159,A1,2026-01-16,146,116,missed,0,0,Sales,Evening
160,A10,2026-01-30,436,85,completed,1,132,Support,Evening
161,A1,2026-01-12,696,172,completed,0,0,Support,Evening
162,A2,2026-02-23,228,31,completed,0,0,Sales,Morning
163,A6,2026-01-03,371,126,completed,0,0,Sales,Morning
164,A6,2026-01-05,827,38,completed,0,0,Support,Evening
165,A8,2026-02-07,894,28,completed,1,150,Support,Morning
166,A2,2026-01-08,805,60,completed,1,167,Sales,Evening
167,A8,2026-02-23,429,164,missed,0,0,Sales,Evening
168,A7,2026-02-17,596,40,completed,0,0,Sales,Morning
169,A4,2026-01-25,608,139,completed,0,0,Sales,Morning
170,A5,2026-01-01,845,77,completed,0,0,Support,Morning
171,A3,2026-02-27,403,146,completed,0,0,Sales,Evening
172,A3,2026-02-17,77,133,completed,0,0,Support,Evening
173,A1,2026-01-20,742,111,completed,1,233,Support,Morning
174,A8,2026-01-23,861,147,completed,0,0,Support,Evening
175,A9,2026-01-21,208,165,missed,0,0,Support,Evening
176,A8,2026-02-26,665,62,completed,1,442,Sales,Morning
177,A4,2026-01-07,535,77,completed,1,353,Support,Morning
178,A9,2026-03-02,206,81,completed,0,0,Sales,Evening
179,A3,2026-02-24,787,44,missed,0,0,Support,Morning
180,A7,2026-01-31,624,79,completed,1,176,Sales,Morning
181,A9,2026-01-14,668,45,missed,0,0,Support,Evening
182,A9,2026-01-20,603,146,completed,1,189,Support,Evening
183,A8,2026-01-02,766,156,missed,0,0,Support,Morning
184,A2,2026-03-01,695,66,completed,0,0,Support,Evening
185,A2,2026-01-13,164,17,completed,0,0,Support,Morning
186,A8,2026-02-14,365,7,completed,0,0,Support,Morning
187,A10,2026-01-05,145,148,completed,0,0,Support,Morning
188,A8,2026-02-22,402,123,completed,1,289,Support,Evening
189,A7,2026-02-17,645,66,completed,1,469,Support,Evening
190,A6,2026-01-09,459,15,completed,0,0,Sales,Evening
191,A9,2026-01-09,106,132,completed,0,0,Sales,Morning
192,A7,2026-01-05,605,97,completed,0,0,Support,Morning
193,A8,2026-02-19,341,56,completed,1,451,Support,Morning
194,A5,2026-02-05,113,125,completed,0,0,Sales,Morning
195,A5,2026-01-12,890,73,completed,1,306,Support,Morning
196,A4,2026-02-07,318,105,missed,0,0,Support,Evening
197,A5,2026-01-01,378,153,completed,0,0,Support,Evening
198,A4,2026-01-20,259,135,missed,0,0,Support,Morning
199,A1,2026-01-28,258,171,missed,0,0,Sales,Evening
200,A8,2026-01-18,275,35,missed,0,0,Sales,Evening
201,A4,2026-01-22,207,98,completed,1,244,Sales,Morning
202,A5,2026-02-19,454,97,completed,1,314,Support,Morning
203,A6,2026-01-25,539,39,completed,0,0,Sales,Morning
204,A10,2026-01-17,544,111,completed,0,0,Support,Evening
205,A9,2026-02-03,757,173,completed,0,0,Sales,Morning
206,A1,2026-01-31,263,119,completed,0,0,Sales,Morning
207,A6,2026-02-20,616,177,missed,0,0,Support,Evening
208,A10,2026-01-28,319,152,completed,0,0,Support,Evening
209,A7,2026-01-22,194,6,completed,0,0,Support,Evening
210,A1,2026-01-08,60,168,completed,0,0,Sales,Morning
211,A5,2026-01-08,368,107,completed,1,487,Sales,Morning
212,A1,2026-01-08,622,102,completed,0,0,Sales,Evening
213,A8,2026-01-14,445,135,completed,0,0,Support,Morning
214,A1,2026-03-01,647,75,completed,0,0,Support,Morning
215,A8,2026-01-19,549,44,completed,1,125,Support,Morning
216,A7,2026-01-04,797,15,completed,1,307,Support,Evening
217,A3,2026-01-16,414,131,missed,0,0,Support,Evening
218,A5,2026-02-23,218,171,completed,0,0,Support,Morning
219,A10,2026-01-07,418,136,completed,0,0,Support,Evening
220,A5,2026-01-04,653,44,missed,0,0,Support,Morning
221,A8,2026-01-27,895,9,completed,0,0,Support,Morning
222,A2,2026-02-21,356,93,completed,0,0,Support,Evening
223,A5,2026-01-30,716,102,completed,1,245,Sales,Morning
224,A10,2026-01-20,638,176,completed,0,0,Support,Evening
225,A5,2026-02-04,865,178,completed,0,0,Support,Morning
226,A7,2026-01-04,138,165,completed,0,0,Sales,Morning
227,A3,2026-02-28,251,87,completed,1,212,Support,Morning
228,A6,2026-01-29,272,14,completed,0,0,Support,Evening
229,A6,2026-01-30,457,59,completed,1,381,Support,Morning
230,A6,2026-02-25,264,113,completed,0,0,Sales,Evening
231,A4,2026-02-14,550,115,missed,0,0,Support,Morning
232,A10,2026-02-06,209,9,completed,1,90,Support,Morning
233,A3,2026-01-22,62,35,completed,0,0,Support,Evening
234,A9,2026-01-23,506,150,completed,0,0,Sales,Evening
235,A1,2026-01-21,493,32,completed,0,0,Support,Morning
236,A6,2026-01-12,758,135,completed,1,468,Support,Morning
237,A5,2026-02-03,521,166,missed,0,0,Sales,Morning
238,A10,2026-01-11,493,108,completed,0,0,Sales,Morning
239,A3,2026-02-02,290,28,completed,0,0,Support,Evening
240,A3,2026-02-19,153,6,completed,1,320,Sales,Morning
241,A2,2026-02-27,651,6,completed,1,171,Support,Morning
242,A4,2026-01-13,788,113,completed,0,0,Sales,Morning
243,A4,2026-02-16,307,71,completed,0,0,Sales,Evening
244,A6,2026-01-16,849,7,completed,0,0,Support,Morning
245,A8,2026-01-04,324,99,completed,0,0,Sales,Morning
246,A5,2026-02-05,224,151,completed,0,0,Sales,Evening
247,A1,2026-01-14,79,21,completed,1,120,Support,Morning
248,A9,2026-01-03,180,89,completed,0,0,Sales,Morning
249,A4,2026-01-15,145,6,missed,0,0,Sales,Evening
250,A8,2026-02-09,179,158,completed,1,295,Sales,Evening
251,A8,2026-01-26,280,13,completed,1,489,Sales,Evening
252,A10,2026-02-10,180,55,completed,0,0,Sales,Evening
253,A5,2026-02-11,404,105,completed,0,0,Support,Morning
254,A10,2026-02-08,246,20,completed,0,0,Support,Evening
255,A7,2026-02-24,509,75,completed,0,0,Sales,Morning
256,A4,2026-01-13,225,152,completed,0,0,Sales,Morning
257,A10,2026-02-28,690,42,completed,1,477,Sales,Morning
258,A8,2026-01-14,534,45,completed,0,0,Sales,Evening
259,A8,2026-02-16,172,154,completed,0,0,Sales,Morning
260,A4,2026-02-20,386,101,completed,0,0,Sales,Morning
261,A10,2026-02-10,686,84,completed,0,0,Sales,Morning
262,A1,2026-01-11,311,69,completed,0,0,Sales,Morning
263,A6,2026-02-27,198,77,completed,0,0,Support,Evening
264,A8,2026-02-09,688,117,missed,0,0,Sales,Morning
265,A7,2026-02-07,200,149,completed,0,0,Sales,Morning
266,A9,2026-02-15,392,10,completed,0,0,Sales,Evening
267,A4,2026-01-01,662,137,completed,0,0,Sales,Evening
268,A3,2026-02-24,737,18,completed,0,0,Sales,Morning
269,A9,2026-02-14,847,83,missed,0,0,Support,Evening
270,A8,2026-02-11,614,77,missed,0,0,Support,Evening
271,A7,2026-02-08,100,159,completed,0,0,Sales,Evening
272,A2,2026-02-07,115,128,completed,0,0,Support,Morning
273,A4,2026-02-09,457,172,completed,1,141,Support,Morning
274,A2,2026-01-19,557,141,completed,0,0,Support,Evening
275,A10,2026-02-25,879,70,completed,0,0,Support,Morning
276,A7,2026-01-18,413,55,completed,0,0,Support,Morning
277,A7,2026-01-02,756,120,completed,0,0,Sales,Evening
278,A3,2026-02-17,662,152,completed,0,0,Support,Evening
279,A4,2026-02-17,512,71,completed,1,424,Support,Evening
280,A8,2026-03-02,778,100,completed,0,0,Sales,Evening
281,A1,2026-02-16,368,139,completed,0,0,Sales,Morning
282,A10,2026-01-14,442,140,completed,0,0,Sales,Evening
283,A9,2026-02-22,403,109,completed,1,263,Sales,Evening
284,A8,2026-01-28,419,48,completed,0,0,Sales,Morning
285,A9,2026-02-25,99,144,completed,1,475,Support,Evening
286,A7,2026-02-03,863,41,completed,1,290,Support,Morning
287,A6,2026-02-11,756,146,completed,1,417,Sales,Evening
288,A9,2026-02-27,326,109,completed,0,0,Support,Evening
289,A4,2026-01-17,512,75,completed,0,0,Sales,Evening
290,A2,2026-01-31,164,41,completed,0,0,Sales,Evening
291,A5,2026-01-25,767,110,completed,0,0,Sales,Evening
292,A7,2026-02-05,528,179,completed,0,0,Sales,Morning
293,A1,2026-01-23,255,123,completed,0,0,Sales,Morning
294,A10,2026-02-17,720,49,missed,0,0,Sales,Evening
295,A5,2026-01-01,633,83,completed,0,0,Support,Evening
296,A4,2026-01-01,729,47,completed,0,0,Support,Evening
297,A6,2026-02-04,498,81,completed,0,0,Support,Morning
298,A9,2026-01-29,233,7,missed,0,0,Support,Morning
299,A6,2026-01-19,669,70,missed,0,0,Sales,Morning
300,A6,2026-01-05,81,41,completed,0,0,Sales,Morning
